"Player","Team","Age","Position","Games","Starts","Minutes","Attempted.Passes","Successful.Passes","Key.Passes","Assists","Crosses","Long.Balls","Through.Balls"
"Ola Toivonen","Sunderland",29,"AM(C),FW",12,9,665,254,186,8,2,0,7,0
"Steven Whittaker","Norwich",31,"D(LR)",8,8,661,304,227,2,0,3,13,0
"Kevin Mbabu","Newcastle United",20,"Defender",3,2,144,41,25,1,0,0,4,0
"Glenn Murray","Bournemouth",32,"FW",19,6,669,179,117,6,0,2,4,0
"Charlie Adam","Stoke",30,"D(C),M(CR),FW",17,10,852,459,350,8,0,7,51,0
"Mario Su‡rez","Watford",29,"D(C),M(CR)",10,4,398,196,146,3,0,0,14,0
"Reece Oxford","West Ham",17,"Defender",6,3,208,50,41,0,0,0,2,0
"Carl Jenkinson","West Ham",24,"D(R)",20,13,1226,504,377,6,0,8,30,0
"Juan Cuadrado","Chelsea",27,"D(CR),M(CLR),FW",1,0,26,9,9,0,0,0,1,0
"Serge Gnabry","West Bromwich Albion",20,"AM(R)",1,0,12,7,6,1,0,1,0,0
"Saido Berahino","West Bromwich Albion",22,"AM(CLR),FW",28,16,1611,428,337,17,0,3,17,0
"Steven Taylor","Newcastle United",30,"D(CL)",9,8,721,307,259,2,0,0,16,0
"Sergio Romero","Manchester United",29,"GK",4,4,360,115,64,0,0,0,22,0
"Jordan Rossiter","Liverpool",19,"Midfielder",1,0,14,5,4,0,0,0,0,0
"Matt Miazga","Chelsea",20,"D(C)",2,2,136,90,72,0,0,0,3,0
"Tom Davies","Everton",17,"Midfielder",1,0,7,15,11,0,0,0,0,0
"Jordon Mutch","Crystal Palace",24,"AM(C)",17,6,688,274,212,7,0,7,12,0
"Mikel Arteta","Arsenal",34,"M(CR),FW",8,0,160,123,106,0,0,0,6,0
"Tom Carroll","Tottenham",23,"M(C)",18,4,461,302,253,7,0,2,20,0
"Jack Rodwell","Sunderland",25,"D(C),M(CR),FW",21,8,1069,412,305,15,0,0,17,0
"Ryan Allsop","Bournemouth",23,"GK",1,0,45,8,7,0,0,0,1,0
"Clinton N'Jie","Tottenham",22,"FW",7,0,160,63,39,2,1,1,1,0
"Sebastian Larsson","Sunderland",30,"D(C),M(CR)",13,5,422,177,134,6,1,5,9,1
"Juan Iturbe","Bournemouth",22,"AM(LR)",2,0,56,23,18,1,0,0,2,0
"Wayne Routledge","Swansea",31,"D(C),M(CLR),FW",24,18,1407,538,411,24,1,10,19,0
"Nikica Jelavic","West Ham",30,"AM(L),FW",13,1,340,74,51,9,2,1,0,0
"Emmanuel Adebayor","Crystal Palace",32,"AM(L),FW",9,5,437,156,119,4,1,1,6,0
"Kieran Gibbs","Arsenal",26,"D(CL)",15,3,381,198,146,2,0,2,3,0
"Vadis Odjidja-Ofoe","Norwich",27,"AM(C)",9,3,266,130,100,8,2,2,3,0
"Patrick Bamford","Norwich",22,"AM(CLR),FW",6,2,224,57,39,2,0,0,0,0
