Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Eric Tomlinson,NYJ,26,TE,15,12,14,8,57.10%,72,9,0,24,0.5,4.8,0
Josh Adams,PHI,22,rb,14,5,13,7,53.80%,58,8.3,0,13,0.5,4.1,1
Mo Alie-Cox,IND,25,te,9,1,13,7,53.80%,133,19,2,34,0.8,14.8,0
Antony Auclair,TAM,25,TE,16,10,8,7,87.50%,48,6.9,0,12,0.4,3,0
Derek Carrier,OAK,28,te,16,2,12,7,58.30%,67,9.6,1,23,0.4,4.2,0
Ronald Jones,TAM,21,,9,0,9,7,77.80%,33,4.7,0,15,0.8,3.7,0
T.J. Logan,ARI,24,,10,0,7,7,100.00%,37,5.3,0,17,0.7,3.7,0
Sony Michel,NWE,23,RB,13,8,11,7,63.60%,50,7.1,0,13,0.5,3.8,1
JJ Nelson,ARI,26,wr,14,2,19,7,36.80%,64,9.1,0,17,0.5,4.6,0
Zach Zenner,DET,27,rb,8,1,10,7,70.00%,56,8,0,30,0.9,7,0
Kamar Aiken,PHI,29,wr,5,1,7,6,85.70%,53,8.8,0,18,1.2,10.6,0
Tommy Bohanon,JAX,28,fb,16,6,9,6,66.70%,41,6.8,0,12,0.4,2.6,0
Brice Butler,2TM,28,,8,1,10,6,60.00%,60,10,1,23,0.8,7.5,0
Kenneth Dixon,BAL,24,,6,0,7,6,85.70%,51,8.5,0,21,1,8.5,2
Russell Gage,ATL,22,,15,0,10,6,60.00%,63,10.5,0,22,0.4,4.2,0
Rashad Greene,JAX,26,wr,8,1,8,6,75.00%,60,10,0,12,0.8,7.5,2
Xavier Grimble,PIT,26,te,16,2,8,6,75.00%,86,14.3,0,23,0.4,5.4,1
David Grinnage,JAX,24,te,4,2,8,6,75.00%,61,10.2,0,24,1.5,15.3,0
Dwayne Harris,OAK,31,wr,15,1,6,6,100.00%,40,6.7,0,13,0.4,2.7,2
Marcus Johnson,IND,24,,5,0,8,6,75.00%,102,17,1,34,1.2,20.4,0
Raheem Mostert,SFO,26,,9,0,7,6,85.70%,25,4.2,0,23,0.7,2.8,1
Durham Smythe,MIA,23,te,15,2,11,6,54.50%,50,8.3,0,21,0.4,3.3,0
Neal Sterling,NYJ,26,te,5,4,8,6,75.00%,47,7.8,0,12,1.2,9.4,0
Darren Waller,OAK,26,,4,0,6,6,100.00%,75,12.5,0,44,1.5,18.8,0
Jay Ajayi,PHI,25,rb,4,3,6,5,83.30%,20,4,0,12,1.3,5,1
C.J. Anderson,2TM,27,,11,3,9,5,55.60%,41,8.2,1,24,0.5,3.7,0
Malcolm Brown,LAR,25,,12,0,7,5,71.40%,52,10.4,1,18,0.4,4.3,0
Noah Brown,DAL,22,wr,8,2,8,5,62.50%,54,10.8,0,22,0.6,6.8,0
Garrett Celek,SFO,30,te,15,1,8,5,62.50%,90,18,2,41,0.3,6,0
Corey Coleman,NYG,24,wr,8,1,8,5,62.50%,71,14.2,0,30,0.6,8.9,0
Tyler Conklin,MIN,23,te,16,3,7,5,71.40%,77,15.4,0,33,0.3,4.8,0
Seth Devalve,CLE,25,te,13,4,7,5,71.40%,74,14.8,1,26,0.4,5.7,0
Devonta Freeman,ATL,26,rb,2,2,7,5,71.40%,23,4.6,0,14,2.5,11.5,0
Zach Line,NOR,28,fb,16,6,10,5,50.00%,14,2.8,2,5,0.3,0.9,0
Rishard Matthews,2TM,29,,8,0,9,5,55.60%,24,4.8,0,7,0.6,3,0
Ray-Ray McCloud,BUF,22,fb,10,1,6,5,83.30%,36,7.2,0,16,0.5,3.6,2
David Morgan,MIN,25,te,11,6,6,5,83.30%,36,7.2,0,13,0.5,3.3,0
Brian Parker,DEN,26,te,13,1,10,5,50.00%,33,6.6,0,11,0.4,2.5,0
Joshua Perkins,PHI,25,te,9,1,11,5,45.50%,67,13.4,0,30,0.6,7.4,0
Eric Saubert,ATL,24,te,16,1,9,5,55.60%,48,9.6,0,17,0.3,3,0
Adam Shaheen,CHI,24,te,6,4,6,5,83.30%,48,9.6,1,23,0.8,8,0
Keith Smith,OAK,26,fb,16,3,6,5,83.30%,23,4.6,0,8,0.3,1.4,0
Vyncint Smith,HOU,22,wr,7,1,10,5,50.00%,91,18.2,1,35,0.7,13,0
Jeremy Sprinkle,WAS,24,te/wr,16,9,9,5,55.60%,41,8.2,1,15,0.3,2.6,0
Mark Walton,CIN,21,,14,0,8,5,62.50%,41,8.2,0,24,0.4,2.9,0
Chad Beebe,MIN,24,,3,0,4,4,100.00%,39,9.8,0,18,1.3,13,0
Nick Bellore,DET,29,fb,14,4,4,4,100.00%,15,3.8,0,8,0.3,1.1,0
Jawill Davis,NYG,23,,7,0,8,4,50.00%,40,10,0,22,0.6,5.7,0
Jacob Hollister,NWE,25,wr,8,1,5,4,80.00%,52,13,0,23,0.5,6.5,0
Tyler Kroft,CIN,26,te,5,2,6,4,66.70%,36,9,0,16,0.8,7.2,0
Byron Marshall,WAS,24,,6,0,6,4,66.70%,30,7.5,0,17,0.7,5,0
Roosevelt Nix,PIT,26,,16,0,6,4,66.70%,38,9.5,0,19,0.3,2.4,0
Auden Tate,CIN,21,,7,0,12,4,33.30%,35,8.8,0,15,0.6,5,0
Robert Tonyan,GNB,24,te,16,1,6,4,66.70%,77,19.3,1,54,0.3,4.8,0
Delanie Walker,TEN,34,te,1,1,7,4,57.10%,52,13,0,16,4,52,0
Kevin White,CHI,26,,9,0,8,4,50.00%,92,23,0,54,0.4,10.2,0
Jesus Wilson,TAM,23,,5,0,5,4,80.00%,52,13,0,25,0.8,10.4,0
Javon Wims,CHI,24,,4,0,5,4,80.00%,32,8,0,16,1,8,0
Ameer Abdullah,2TM,25,,10,0,4,3,75.00%,28,9.3,0,12,0.3,2.8,1
Dwayne Allen,NWE,28,te/wr,13,8,4,3,75.00%,27,9,0,21,0.2,2.1,0
Cameron Artis-Payne,CAR,28,,9,0,4,3,75.00%,15,5,0,13,0.3,1.7,0
Brandon Bolden,MIA,28,,16,0,3,3,100.00%,13,4.3,1,9,0.2,0.8,1
Ben Braunecker,CHI,24,te,15,2,5,3,60.00%,42,14,0,20,0.2,2.8,0
Orson Charles,CLE,27,te,13,2,5,3,60.00%,23,7.7,0,9,0.2,1.8,0
A.J. Derby,MIA,27,,4,0,5,3,60.00%,48,16,1,19,0.8,12,0
Patrick DiMarco,BUF,29,fb,16,5,4,3,75.00%,62,20.7,0,38,0.2,3.9,0
Tyler Ervin,HOU,25,,9,0,3,3,100.00%,35,11.7,0,19,0.3,3.9,1
Keith Ford,BUF,24,rb,2,1,5,3,60.00%,21,7,0,8,1.5,10.5,0
Rico Gathers,DAL,24,te,15,4,7,3,42.90%,45,15,0,32,0.2,3,0
Taysom Hill,NOR,28,te/wr,16,4,7,3,42.90%,4,1.3,0,5,0.2,0.3,1
Justin Hunter,PIT,27,,5,0,13,3,23.10%,21,7,0,12,0.6,4.2,0
Matt Lengel,CIN,28,te,11,2,8,3,37.50%,17,5.7,1,9,0.3,1.5,0
Marcedes Lewis,GNB,34,te,16,4,4,3,75.00%,39,13,0,30,0.2,2.4,0
Tommylee Lewis,NOR,26,wr,7,3,3,3,100.00%,60,20,1,28,0.4,8.6,1
Ricky Ortiz,ATL,24,FB,12,9,4,3,75.00%,11,3.7,0,7,0.3,0.9,0
Samaje Perine,WAS,23,,5,0,4,3,75.00%,5,1.7,0,8,0.6,1,0
John Phillips,ARI,31,te,8,4,3,3,100.00%,38,12.7,0,24,0.4,4.8,0
C.J. Prosise,SEA,24,,5,0,3,3,100.00%,22,7.3,0,8,0.6,4.4,0
Brian Quick,WAS,29,wr,6,3,3,3,100.00%,18,6,0,6,0.5,3,0
Stevan Ridley,PIT,29,,10,0,4,3,75.00%,18,6,0,10,0.3,1.8,2
De'Anthony Thomas,KAN,25,,5,0,5,3,60.00%,29,9.7,1,15,0.6,5.8,1
Jalen Tolliver,ARI,23,wr,3,1,6,3,50.00%,37,12.3,0,15,1,12.3,0
Darrel Williams,KAN,23,,6,0,3,3,100.00%,27,9,1,11,0.5,4.5,0
Derrick Willies,CLE,24,,5,0,5,3,60.00%,61,20.3,0,39,0.6,12.2,1
Shaun Wilson,TAM,23,,5,0,5,3,60.00%,5,1.7,0,5,0.6,1,0
Mike Boone,MIN,23,,8,0,3,2,66.70%,1,0.5,0,1,0.3,0.1,0
Leonte Carroo,MIA,24,,9,0,4,2,50.00%,94,47,1,74,0.2,10.4,0
Jamaal Charles,JAX,32,,2,0,3,2,66.70%,7,3.5,0,5,1,3.5,0
Derrick Coleman,ARI,28,fb,16,4,3,2,66.70%,17,8.5,0,12,0.1,1.1,0
Alan Cross,TAM,25,te,14,3,5,2,40.00%,9,4.5,0,6,0.1,0.6,0
Ross Dwelley,SFO,23,,11,0,2,2,100.00%,14,7,0,8,0.2,1.3,0
Gus Edwards,BAL,23,rb,11,6,2,2,100.00%,20,10,0,13,0.2,1.8,0
D'Onta Foreman,HOU,22,,1,0,2,2,100.00%,28,14,1,20,2,28,1
Jordan Franks,CIN,22,,6,0,3,2,66.70%,37,18.5,0,32,0.3,6.2,0
KhaDarel Hodge,LAR,23,,14,0,3,2,66.70%,17,8.5,0,14,0.1,1.2,0
John Kelly,LAR,22,,4,0,3,2,66.70%,27,13.5,0,18,0.5,6.8,0
Jeremy Kerley,BUF,30,wr,1,1,4,2,50.00%,7,3.5,0,4,2,7,0
Tre Madden,SEA,25,fb,14,3,3,2,66.70%,35,17.5,0,28,0.1,2.5,0
Chris Manhertz,CAR,26,te,16,4,5,2,40.00%,52,26,1,50,0.1,3.3,0
J'Mon Moore,GNB,23,,12,0,3,2,66.70%,15,7.5,0,10,0.2,1.3,1
Detrez Newsome,LAC,24,,9,0,2,2,100.00%,19,9.5,0,11,0.2,2.1,0
Jamize Olawale,DAL,29,fb/rb/wr,16,4,4,2,50.00%,13,6.5,0,10,0.1,0.8,0
Charone Peake,NYJ,26,,13,0,3,2,66.70%,25,12.5,0,14,0.2,1.9,0
Dion Sims,CHI,27,te,8,4,4,2,50.00%,9,4.5,0,9,0.3,1.1,0
Roc Thomas,MIN,23,,5,0,4,2,50.00%,21,10.5,0,15,0.4,4.2,0
De'Lance Turner,BAL,23,,4,0,2,2,100.00%,17,8.5,0,10,0.5,4.3,0
Malik Turner,SEA,22,,6,0,3,2,66.70%,20,10,0,19,0.3,3.3,0
Hakeem Valles,DET,26,,3,0,3,2,66.70%,11,5.5,0,6,0.7,3.7,0
Joe Webb,HOU,32,,16,0,3,2,66.70%,13,6.5,0,7,0.1,0.8,0
Charcandrick West,KAN,27,,3,0,3,2,66.70%,37,18.5,1,25,0.7,12.3,0
Nick Williams,2TM,28,,4,0,5,2,40.00%,17,8.5,0,11,0.5,4.3,0
Terrance Williams,DAL,29,wr,3,2,3,2,66.70%,18,9,0,12,0.7,6,0
Alex Armah,CAR,24,fb/wr,16,2,1,1,100.00%,5,5,0,5,0.1,0.3,0
Kenjon Barner,2TM,28,,9,0,1,1,100.00%,3,3,0,3,0.1,0.3,1
Victor Bolden,2TM,23,,6,0,4,1,25.00%,10,10,0,10,0.2,1.7,0
Tom Brady*,NWE,41,QB,16,16,1,1,100.00%,6,6,0,6,0.1,0.4,4
Drew Brees*,NOR,39,QB,15,15,1,1,100.00%,1,1,0,1,0.1,0.1,5
Michael Burton,CHI,26,fb,8,1,1,1,100.00%,6,6,0,6,0.1,0.8,0
Damiere Byrd,CAR,25,,8,0,2,1,50.00%,8,8,0,8,0.1,1,0
Travaris Cadet,CAR,29,,1,0,1,1,100.00%,5,5,0,5,1,5,0
Derek Carr,OAK,27,QB,16,16,1,1,100.00%,-9,-9,0,-9,0.1,-0.6,12
Jehu Chesson,WAS,25,,12,0,2,1,50.00%,7,7,0,7,0.1,0.6,0
Sammie Coates,HOU,25,,12,0,2,1,50.00%,12,12,0,12,0.1,1,0
Kirk Cousins,MIN,30,QB,16,16,1,1,100.00%,-1,-1,0,-1,0.1,-0.1,9
River Cracraft,DEN,24,,8,0,2,1,50.00%,44,44,0,44,0.1,5.5,1
